代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
006594,博道中证500增强C,1.6612,1.9412,0.94%,0.74%,-1.68%,3.42%,23.09%,21.94%,-0.89%,-11.7%,-0.29%,101.3%
007448,长信沪深300指数增强C,1.1391,1.4163,0.7%,1.76%,-1.06%,-0.87%,12.61%,21.91%,0.4%,-10.1%,-0.23%,45.52%
015785,中信建投中证1000指数增强C,1.0296,1.0296,1.57%,1.67%,-1.96%,5.83%,28.72%,21.89%,3.02%,,0.44%,2.96%
162216,宏利500指数增强(LOF),1.3009,2.4792,0.88%,1.51%,-1.37%,4.9%,23.3%,21.75%,-5.42%,-14.75%,0.6%,207.89%
007276,银河沪深300指数增强C,1.3273,1.3883,0.86%,0.99%,-2.51%,0.29%,14.47%,21.74%,-0.9%,-10.44%,-1.44%,38.85%
019556,中银中证1000指数增强C,1.186,1.186,1.38%,1.31%,-1.96%,4.66%,27.83%,21.64%,,,0.22%,18.6%
018062,华泰紫金中证1000指数增强发起A,1.0182,1.0182,1.57%,1.37%,-1.49%,5.71%,28.2%,21.63%,,,0.67%,1.82%
166802,浙商沪深300指数增强(LOF)A,1.769,1.924,0.73%,0.49%,-2.81%,-1.27%,13.51%,21.58%,-2.35%,-13.28%,-1.84%,103.65%
320014,诺安沪深300指数增强A,1.5226,1.5594,0.61%,0.24%,-3.61%,-1.38%,12.29%,21.31%,-0.5%,-9.54%,-2.61%,55.94%
015466,太平中证1000指数增强A,1.1432,1.1432,1.37%,0.35%,-2.95%,3.62%,30.22%,21.28%,7.34%,,0.09%,14.32%
017953,汇添富中证1000指数增强A,1.0569,1.0569,1.29%,1.47%,-1.27%,7.23%,31.77%,21.2%,,,0.68%,5.69%
018370,华夏创业板指数增强A,1.0566,1.0566,1.15%,1.75%,-2.72%,0.62%,26.92%,21.16%,,,0.16%,5.66%
018063,华泰紫金中证1000指数增强发起C,1.0116,1.0116,1.57%,1.37%,-1.52%,5.62%,27.95%,21.15%,,,0.66%,1.16%
019240,华泰柏瑞中证1000指数增强A,1.0459,1.0459,1.54%,1.06%,-3.37%,7.03%,34%,20.97%,,,-0.37%,4.59%
014372,浙商沪深300指数增强(LOF)C,1.745,1.745,0.73%,0.49%,-2.86%,-1.4%,13.22%,20.95%,-3.38%,-14.44%,-1.87%,-13.16%
009726,招商中证500等权重指数增强A,1.3076,1.3076,1.25%,1.03%,-2.04%,2.05%,21.1%,20.94%,3.01%,3.2%,0.06%,30.76%
017190,鑫元中证1000指数增强发起式A,1.0566,1.0566,1.29%,0.99%,-3.61%,5.6%,29.9%,20.92%,2.09%,,-0.71%,5.66%
017954,汇添富中证1000指数增强C,1.0523,1.0523,1.29%,1.47%,-1.29%,7.17%,31.6%,20.9%,,,0.66%,5.23%
010352,诺安沪深300指数增强C,1.4985,1.4985,0.61%,0.23%,-3.64%,-1.48%,12.07%,20.84%,-1.28%,-10.61%,-2.63%,0.11%
005113,平安沪深300指数量化A,1.2481,1.2481,0.98%,1%,-2.47%,0.4%,14.78%,20.82%,-5.9%,-15.18%,-1.34%,24.81%
015467,太平中证1000指数增强C,1.1305,1.1305,1.38%,0.36%,-2.98%,3.52%,29.96%,20.79%,6.48%,,0.07%,13.05%
014125,华夏中证1000指数增强A,0.9406,0.9406,1.82%,1.94%,-1.37%,3.7%,24.27%,20.74%,-0.62%,-2.66%,1.01%,-5.94%
019185,泰康中证1000指数增强发起A,1.0516,1.0516,1.53%,1.96%,-1.43%,4.22%,27.57%,20.68%,,,0.81%,5.16%
018371,华夏创业板指数增强C,1.0509,1.0509,1.15%,1.74%,-2.74%,0.53%,26.66%,20.67%,,,0.14%,5.09%
015453,中欧中证500指数增强A,0.9898,0.9898,0.9%,1.54%,-0.8%,1.03%,23.69%,20.65%,-0.01%,,1.13%,-1.02%
013639,光大中证500指数增强A,0.9378,0.9378,1.08%,0.71%,-3.07%,1.9%,16.14%,20.59%,3.84%,-2.71%,-1.42%,-6.22%
161607,融通巨潮100指数A(LOF),0.969,3.144,0.73%,0.73%,-3.49%,-2.32%,11.89%,20.52%,-4.06%,-14.17%,-2.81%,435.23%
018661,大成中证1000指数增强发起式A,1.0265,1.0265,1.86%,2.01%,-3.44%,9.56%,37.55%,20.52%,,,-0.23%,2.65%
011545,长江沪深300指数增强发起式A,0.7892,0.7892,0.83%,0.51%,-2.33%,-1.33%,11%,20.49%,-2.01%,-14.75%,-1.08%,-21.08%
019241,华泰柏瑞中证1000指数增强C,1.0403,1.0403,1.55%,1.06%,-3.4%,6.93%,33.75%,20.49%,,,-0.39%,4.03%
017191,鑫元中证1000指数增强发起式C,1.0474,1.0474,1.29%,0.98%,-3.64%,5.49%,29.63%,20.43%,1.27%,,-0.74%,4.74%
