代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
515110,易方达中证国企一,刘树荣,易方达,3.04亿元,84.00000000000001,66,84.0,82.19999999999999,3,3,5,5,-3.89%,一般,7.30%,不佳,22.62%,良好,6.26%,优秀,2.78%,优秀,37.87%,优秀,75.0,80.0,85.0,100.0,80.0
007180,华安中债1-3年,林唐宇,华安,83.69亿元,84.00000000000001,24,85.0,78.60000000000001,3,5,5,4,1.20%,一般,1.76%,一般,3.60%,一般,6.83%,一般,9.20%,一般,16.28%,一般,75.0,70.0,90.0,95.0,95.0
515150,富国中证国企一带,殷钦怡,富国,7.42亿元,84.00000000000001,66,82.0,81.0,3,3,5,5,-4.58%,一般,6.48%,不佳,21.14%,良好,3.36%,优秀,-1.41%,优秀,28.93%,优秀,75.0,80.0,85.0,90.0,80.0
007788,易方达中证国企带,刘树荣,易方达,0.43亿元,88.00000000000001,66,78.0,79.8,3,4,5,5,-3.73%,一般,7.13%,不佳,21.46%,良好,4.58%,优秀,1.54%,优秀,39.44%,优秀,75.0,80.0,80.0,85.0,70.0
007364,易方达中债1-3,杨真,易方达,17.78亿元,76.0,12,84.0,74.4,3,5,5,3,0.96%,不佳,1.42%,一般,3.49%,一般,6.55%,一般,8.84%,不佳,16.45%,一般,80.0,70.0,90.0,95.0,85.0
007994,华夏中证500指,孙蒙,华夏,38.40亿元,84.00000000000001,62,74.0,75.8,3,5,3,5,-1.82%,良好,15.14%,良好,15.79%,一般,3.84%,优秀,3.28%,优秀,---,,75.0,75.0,55.0,75.0,90.0
007786,富国中证国企一带,殷钦怡,富国,0.13亿元,88.00000000000001,62,74.0,77.0,3,4,5,5,-4.89%,一般,5.36%,不佳,19.23%,良好,3.00%,良好,-1.40%,优秀,28.22%,良好,75.0,80.0,75.0,75.0,65.0
007787,富国中证国企一带,殷钦怡,富国,0.05亿元,84.00000000000001,38,74.0,73.39999999999999,3,3,5,5,-5.00%,一般,5.15%,不佳,18.74%,一般,2.18%,良好,-2.58%,优秀,25.67%,良好,75.0,80.0,75.0,75.0,65.0
007789,易方达中证国企带,刘树荣,易方达,0.19亿元,84.00000000000001,66,78.0,78.6,3,3,5,5,-3.74%,一般,7.09%,不佳,21.34%,良好,4.38%,优秀,1.25%,优秀,38.58%,优秀,75.0,80.0,80.0,85.0,70.0
008340,华富中债-安徽信,张娅,华富,21.25亿元,84.00000000000001,54,88.0,83.4,3,5,5,4,1.22%,一般,1.29%,一般,3.85%,一般,10.30%,优秀,12.90%,优秀,---,,85.0,70.0,95.0,100.0,90.0
